season,episode,name,description,rating,airdate,link
1,1,Slumber Party Panic,Princess Bumblegum's latest experiment accidentally unleashes an undead horde upon the Candy Kingdom.,7.7,1270418400,http://www.imdb.com//title/tt1615520/?ref_=ttep_ep1
1,2,Trouble in Lumpy Space,"Jake is bitten by Lumpy Space Princess and begins to transform into a Lumpy being. In order to find a cure, Finn is travels to Lumpy Space.",7.6,1270418400,http://www.imdb.com//title/tt1615521/?ref_=ttep_ep2
1,3,Prisoners of Love,"After the Ice King kidnaps a large group of princesses, its up to Finn and Jake to free them.",7.5,1271023200,http://www.imdb.com//title/tt1622039/?ref_=ttep_ep3
1,4,Tree Trunks,"Tree Trunks joins Finn and Jake on an quest, but finds her talents for adventuring leave something to be desired.",7.7,1271023200,http://www.imdb.com//title/tt1626279/?ref_=ttep_ep4
1,5,The Enchiridion!,"Princess Bubblegum sends Finn on his most challenging quest yet--to recover The Enchiridion, the hero's handbook.",7.9,1271628000,http://www.imdb.com//title/tt1626278/?ref_=ttep_ep5
1,6,The Jiggler,"After finding a Jiggler in the wild, Finn and Jake decide to adopt the funny creature as a pet.",7.4,1271628000,http://www.imdb.com//title/tt2237922/?ref_=ttep_ep6
1,7,Ricardio the Heart Guy,"A new stranger arrives in the Candy Kingdom: a charismatic talking heart named Ricardio. He soon becomes very popular, except to Finn who believes he's hiding something.",7.5,1272232800,http://www.imdb.com//title/tt1626280/?ref_=ttep_ep7
1,8,Business Time,Finn and Jake discover a tribe of businessmen frozen in a block of ice and hire them to make adventuring easier.,7.8,1272232800,http://www.imdb.com//title/tt2237940/?ref_=ttep_ep8
1,9,My Two Favorite People,"Jake tries hanging out with both his best friend, Finn, and his girlfriend, Lady Rainicorn, at the same time. But soon Jake becomes jealous when Finn and Lady seem too friendly.",7.8,1272837600,http://www.imdb.com//title/tt2237954/?ref_=ttep_ep9
1,10,Memories of Boom Boom Mountain,"While having trouble solving the contradictory problems of the residents of a mountain village, Finn recalls where he found the desire to help people.",8.0,1272837600,http://www.imdb.com//title/tt1685055/?ref_=ttep_ep10
1,11,Wizard,Finn and Jake discover a secret tribe of wizards and take magic lessons for a price they aren't prepared to pay.,8.1,1273442400,http://www.imdb.com//title/tt1698778/?ref_=ttep_ep11
1,12,Evicted!,After Marceline the Vampire Queen visits Finn and Jake at their tree fort she informs them that she is moving in and kicking them out.,8.3,1274047200,http://www.imdb.com//title/tt2237972/?ref_=ttep_ep12
1,13,City of Thieves,A mission leads Jake into a city where everyone is a thief and the chance to be corrupted is incredibly strong.,7.9,1274652000,http://www.imdb.com//title/tt1699254/?ref_=ttep_ep13
1,14,The Witch's Garden,"A witch steals Jake's shape-shifting powers, but his ego makes getting them back very difficult.",7.6,1275861600,http://www.imdb.com//title/tt1698782/?ref_=ttep_ep14
1,15,What Is Life?,Finn creates a robot to continuously throw pies at Jake but unexpectedly imbues it with a soul.,7.8,1276466400,http://www.imdb.com//title/tt1698784/?ref_=ttep_ep15
1,16,Ocean of Fear,Finn must overcome his fear of the ocean.,7.9,1277071200,http://www.imdb.com//title/tt1698780/?ref_=ttep_ep16
1,17,When Wedding Bells Thaw,The Ice King announces that he is engaged and to the shock of Finn and Jake it seems the bride is actually willing. But will the Ice King give up his princess kidnapping ways?,7.3,1277762400,http://www.imdb.com//title/tt1698783/?ref_=ttep_ep17
1,18,Dungeon,"Finn adventures into a forbidden dungeon, against the wishes of Princess Bumblegum and Jake, and finds more than he bargained for.",8.4,1278885600,http://www.imdb.com//title/tt1698777/?ref_=ttep_ep18
1,19,The Duke,"An accident in the Candy Kingdom which Finn and Jake cause is blamed on the Duke of Nuts. Finn and Jake, however, find admitting the truth to be harder and harder as time passes.",7.6,1279490400,http://www.imdb.com//title/tt1698781/?ref_=ttep_ep19
1,20,Freak City,A trickster turns Finn into a giant foot.,7.6,1280095200,http://www.imdb.com//title/tt1698779/?ref_=ttep_ep20
1,21,Donny,"Finn and Jake try to reform a bullying ogre, but realize that their good deed has unexpected consequences.",7.4,1281304800,http://www.imdb.com//title/tt1901191/?ref_=ttep_ep21
1,22,Henchman,Marceline the Vampire Queen tricks Finn into swearing allegiance to her.,8.0,1282514400,http://www.imdb.com//title/tt1698775/?ref_=ttep_ep22
1,23,Rainy Day Daydream,"Jake's imagination literally runs wild, coming to life and bringing many dangers into the tree house.",8.1,1283724000,http://www.imdb.com//title/tt1748407/?ref_=ttep_ep23
1,24,What Have You Done?,"After being told to arrest the Ice King, Finn and Jake face an ethical quandary when they realize the villain has not actually committed any recent crimes.",7.7,1284328800,http://www.imdb.com//title/tt1763360/?ref_=ttep_ep24
1,25,His Hero,"Finn meets his hero, the great warrior Billy, who is not everything Finn expected him to be.",7.8,1284933600,http://www.imdb.com//title/tt1748408/?ref_=ttep_ep25
1,26,Gut Grinder,"Jake is accused of being a horrible monster that has been terrorizing the locals. Soon, Jake himself is unsure if he is or isn't the monster.",7.5,1285538400,http://www.imdb.com//title/tt1698773/?ref_=ttep_ep26
2,1,It Came from the Nightosphere,"Finn summons the Lord of Evil to reconcile with his daughter, Marceline the Vampire Queen, but ends up unleashing him of the unsuspecting land.",8.7,1286748000,http://www.imdb.com//title/tt1748406/?ref_=ttep_ep1
2,2,The Eyes,"Because of a creepy horse outside their window, Finn and Jake cannot get any sleep.",8.0,1287352800,http://www.imdb.com//title/tt1886798/?ref_=ttep_ep2
2,3,Loyalty to the King,"After shaving, the Ice King is mistaken as a good guy and takes advantage of the situation.",7.6,1287957600,http://www.imdb.com//title/tt1886799/?ref_=ttep_ep3
2,4,Blood Under the Skin,Finn is made fun of by a group of knights and reacts by questing for a set of magical armor that will earn him respect.,7.8,1288566000,http://www.imdb.com//title/tt1761052/?ref_=ttep_ep4
2,5,Storytelling,"Unable to give a sick Jake an entertaining story, Finn sets off into the woods to discover a true story.",7.8,1289170800,http://www.imdb.com//title/tt1886801/?ref_=ttep_ep5
2,6,Slow Love,Finn and Jake try to find a girlfriend for a giant snail so that it will stop wrecking their tree-house.,7.1,1289775600,http://www.imdb.com//title/tt1886802/?ref_=ttep_ep6
2,7,Power Animal,"Finn is kidnapped, but Jake's short attention span means rescue is dubious.",7.9,1290380400,http://www.imdb.com//title/tt1886803/?ref_=ttep_ep7
2,8,Crystals Have Power,Jake swears a life of non-violence right before a race of indestructible crystal-men abduct Finn to another dimension.,7.5,1290985200,http://www.imdb.com//title/tt1805579/?ref_=ttep_ep8
2,9,The Other Tarts,Finn and Jake are given one of the highest responsibilities: transporting and guarding the rarest pastry in the Candy Kingdom.,8.2,1294009200,http://www.imdb.com//title/tt1819780/?ref_=ttep_ep9
2,10,To Cut a Woman's Hair,An evil witch threatens to crush Jake to death if Finn doesn't deliver her the hair of a princess.,8.0,1294614000,http://www.imdb.com//title/tt1821733/?ref_=ttep_ep10
2,11,The Chamber of Frozen Blades,"While he's away, Finn and Jake sneak into Ice King's fortress.",7.9,1295218800,http://www.imdb.com//title/tt1880431/?ref_=ttep_ep11
2,12,Her Parents,"Anxious about meeting Lady Rainicorn's parents, Jake tries to pass himself off as a Rainicorn.",7.8,1295823600,http://www.imdb.com//title/tt1833240/?ref_=ttep_ep12
2,13,The Pods,"Given the duty of protecting three magic beans, one evil and two good, Finn and Jake decide to plant them to find out which is which.",7.7,1296428400,http://www.imdb.com//title/tt1831849/?ref_=ttep_ep13
2,14,The Silent King,"After defeating their king, Finn becomes the new ruler of the Goblin people, and finds that their strange ways are too difficult to understand.",7.7,1297033200,http://www.imdb.com//title/tt1854417/?ref_=ttep_ep14
2,15,The Real You,"Nervous about giving a speech at Princess Bubblegum's science conference and barbecue, Finn finds a magical pair of glasses that make him the smartest being in the land.",8.2,1297638000,http://www.imdb.com//title/tt1853820/?ref_=ttep_ep15
2,16,Guardians of Sunshine,Finn and Jake become trapped inside one of BMO's video game creations.,8.1,1298242800,http://www.imdb.com//title/tt1853819/?ref_=ttep_ep16
2,17,Death in Bloom,"After accidentally killing Princess Bubblegum's beloved plant, Finn and Jake travel to the land of the dead to bring it back to life.",8.4,1298847600,http://www.imdb.com//title/tt1853818/?ref_=ttep_ep17
2,18,Susan Strong,"Having always believed he is the only human left in the Land of Ooo, Finn believes he has discovered a tribe to primitive humans living underground.",7.8,1299452400,http://www.imdb.com//title/tt1868123/?ref_=ttep_ep18
2,19,Mystery Train,"While traveling on a train, Finn and Jake find themselves in the middle of a murder mystery.",8.4,1300057200,http://www.imdb.com//title/tt1868122/?ref_=ttep_ep19
2,20,Go with Me,Jake and Marceline give Finn conflicting advise on how to ask out Princess Bubblegum.,8.1,1301263200,http://www.imdb.com//title/tt1885473/?ref_=ttep_ep20
2,21,Belly of the Beast,"Finn and Jake must save a group of clueless, party-minded teddy bears living inside the belly of a monster.",8.1,1301868000,http://www.imdb.com//title/tt1885472/?ref_=ttep_ep21
2,22,The Limit,An enormous maze tests the limit of Jake's stretching power.,8.3,1302472800,http://www.imdb.com//title/tt1916786/?ref_=ttep_ep22
2,23,Video Makers,"Finn and Jake set out to make their own movie, but have conflicting visions of what their movie should be.",8.0,1303077600,http://www.imdb.com//title/tt1916787/?ref_=ttep_ep23
2,24,Mortal Folly,"The Lich, the greatest form of pure evil in the land of Ooo, is accidentally unleashed. With the highest stakes, Finn and Jake set out on the most serious adventure of their career.",8.7,1304287200,http://www.imdb.com//title/tt1912555/?ref_=ttep_ep24
2,25,Mortal Recoil,"With the evil Lich seemingly defeated, Finn and Jake are uneasy with their success because of its great cost.",8.8,1304287200,http://www.imdb.com//title/tt2332046/?ref_=ttep_ep25
2,26,Heat Signature,"Finn and Jake ask Marceline the Vampire Queen to turn them into vampires. However, she isn't interested in transforming her friends and tricks them into thinking she has.",7.6,1304892000,http://www.imdb.com//title/tt1916785/?ref_=ttep_ep26
3,1,Conquest of Cuteness,Finn and Jake come under attack in their home from a race of super-evil creatures which are too cute to be taken seriously.,7.6,1310335200,http://www.imdb.com//title/tt1989733/?ref_=ttep_ep1
3,2,Morituri Te Salutamus,Finn and Jake end up in a haunted arena where they must fight ghost gladiators to escape.,7.7,1310940000,http://www.imdb.com//title/tt1991301/?ref_=ttep_ep2
3,3,Memory of a Memory,"Finding their friend, Marceline the Vampire Queen, in a deep sleep, a mysterious stranger helps Finn and Jake by sending them into her dreams to awaken her.",8.6,1311544800,http://www.imdb.com//title/tt2006936/?ref_=ttep_ep3
3,4,Hitman,"The Ice King looks to hire a professional bully to beat up Finn and Jake, but inadvertently hires a deadly, unstoppable contract killer.",8.0,1312149600,http://www.imdb.com//title/tt2017067/?ref_=ttep_ep4
3,5,Too Young,Finn is happy that Princess Bubblegum has regressed to the same age as him. But soon a challenger for the throne arrives to unseat the newly underage princess.,8.5,1312754400,http://www.imdb.com//title/tt2017068/?ref_=ttep_ep5
3,6,The Monster,"The king and queen of Lumpy Space ask Finn to find and return Lumpy Space Princess, who has been living in the woods and mistaken as a monster.",7.5,1313359200,http://www.imdb.com//title/tt2040620/?ref_=ttep_ep6
3,7,Still,"The Ice King uses a potion that paralyzes Finn and Jake, who become the lonely villain's unwilling best friends.",7.7,1313964000,http://www.imdb.com//title/tt2036509/?ref_=ttep_ep7
3,8,Wizard Battle,"The Ice King enters a battle of wizards from all over the Land of Ooo, to win a kiss from Princess Bubblegum--which Finn and Jake look to prevent.",7.6,1314568800,http://www.imdb.com//title/tt2040621/?ref_=ttep_ep8
3,9,Fionna and Cake,"In a world where all the characters are different genders, the adventurer Fionna gets advice from her cat-friend Cake on her date with Prince Gumball.",8.6,1320447600,http://www.imdb.com//title/tt2004450/?ref_=ttep_ep9
3,10,What Was Missing,"In order to open a magic door filled with stolen items, Finn and all his friends must perform in a band. But everyone's differing musical tastes and overall tensions make things difficult.",8.6,1316988000,http://www.imdb.com//title/tt2042741/?ref_=ttep_ep10
3,11,Apple Thief,"After Tree Trunks finds her apples have gone missing, Finn and Jake search the criminal underworld of the Candy Kingdom to recover them.",6.9,1317592800,http://www.imdb.com//title/tt2113842/?ref_=ttep_ep11
3,12,The Creeps,Finn's masquerade birthday party turns into a deadly mystery.,8.3,1318802400,http://www.imdb.com//title/tt2113846/?ref_=ttep_ep12
3,13,From Bad to Worse,The undead plague returns to the Candy Kingdom.,8.2,1319407200,http://www.imdb.com//title/tt2113844/?ref_=ttep_ep13
3,14,Beautopia,Susan Strong returns and asks Finn and Jake to save her people from the Glubs. But Finn is still not sure if he can trust her after last time.,7.8,1320620400,http://www.imdb.com//title/tt2100698/?ref_=ttep_ep14
3,15,No One Can Hear You,"After trying to stop a deer that has been licking the Candy Kingdom people, Finn wakes up in a hospital to find everyone missing expect Jake who is acting very strange.",8.2,1321225200,http://www.imdb.com//title/tt2113845/?ref_=ttep_ep15
3,16,Jake vs. Me-Mow,"A tiny cat assassin tries to black mail Jake into killing someone, by hiding in his nose with some poison.",8.0,1321830000,http://www.imdb.com//title/tt2133419/?ref_=ttep_ep16
3,17,Thank You,A fire-breathing wolf cub becomes lost in the snowy woods and becomes unlikely friends with a tall snow-creature.,8.8,1322002800,http://www.imdb.com//title/tt2137517/?ref_=ttep_ep17
3,18,The New Frontier,"Jake has a dream that seems to foretell his death but, to Finn's dismay, doesn't take it serious.",7.3,1322434800,http://www.imdb.com//title/tt2211271/?ref_=ttep_ep18
3,19,Holly Jolly Secrets Part I,"In Finn and Jake's holiday special, the heroes come across a video diary of the Ice King's and attempt to decipher its secrets.",7.7,1323039600,http://www.imdb.com//title/tt2119588/?ref_=ttep_ep19
3,20,Holly Jolly Secrets Part II,"In part two of the holiday special, The Ice King tries to get his video diary back from Finn and Jake.",8.6,1323039600,http://www.imdb.com//title/tt2188997/?ref_=ttep_ep20
3,21,Marceline's Closet,"Bored waiting for her, Finn and Jake sneak into Marceline's house, become trapped when she comes home, and witness her strange behavior when she's alone.",8.3,1323644400,http://www.imdb.com//title/tt2149303/?ref_=ttep_ep21
3,22,Paper Pete,"A secret war takes place in the library between tiny paper people and mold creatures, and Finn is brought into the middle of it all.",7.2,1326668400,http://www.imdb.com//title/tt2211269/?ref_=ttep_ep22
3,23,Another Way,"Finn journeys for a cyclops's magical tears to cure his injuries, but have trouble because of his stubborn inability to follow the advice of others.",7.7,1327273200,http://www.imdb.com//title/tt2211261/?ref_=ttep_ep23
3,24,Ghost Princess,Finn and Jake try to help Ghost Princess by solving her murder.,7.6,1327878000,http://www.imdb.com//title/tt2211265/?ref_=ttep_ep24
3,25,Dad's Dungeon,Finn and Jake discover a lost message from their dad which sends them to a mysterious and dangerous dungeon.,8.3,1328482800,http://www.imdb.com//title/tt2211263/?ref_=ttep_ep25
3,26,Incendium,"Trying to help Finn get over his hopeless feelings for Princess Bubblegum, Jake sets out to find a new princess for Finn to go out with.",8.2,1329087600,http://www.imdb.com//title/tt2211267/?ref_=ttep_ep26
4,1,Hot to the Touch,"Refusing to believe that she is evil, Finn tries to win over his new crush, Flame Princess.",8.1,1333317600,http://www.imdb.com//title/tt2320185/?ref_=ttep_ep1
4,2,Five Short Graybles,"Five short stories of Finn, Jake and their friends.",7.9,1333922400,http://www.imdb.com//title/tt2357553/?ref_=ttep_ep2
4,3,Web Weirdos,"After being caught by a giant spider, Finn and Jake try and help the arachnid with its marital problems so they won't be eaten.",6.9,1334527200,http://www.imdb.com//title/tt2357555/?ref_=ttep_ep3
4,4,Dream of Love,Tree Trunks finds love but her public displays of affection nauseate everyone around her.,6.1,1335132000,http://www.imdb.com//title/tt2383079/?ref_=ttep_ep4
4,5,Return to the Nightosphere,Finn and Jake find themselves imprisoned in the dark realm of the Nightosphere with no memory of how they came to be there.,8.1,1335736800,http://www.imdb.com//title/tt2319774/?ref_=ttep_ep5
4,6,Daddy's Little Monster,"Continuing their mysterious quest in the Nightosphere, Finn and Jake must rescue their friend Marceline the Vampire Queen.",8.2,1335736800,http://www.imdb.com//title/tt2301420/?ref_=ttep_ep6
4,7,In Your Footsteps,"A cute, bumbling bear begins to follow and mimic Finn. At first Finn enjoys having the furry admirer, but soon becomes uneasy with the bear's devotion.",7.5,1336341600,http://www.imdb.com//title/tt2382051/?ref_=ttep_ep7
4,8,Hug Wolf,"A Hug Wolf, a monstrous wolf that gives hugs against the will of its victims, turns Finn into one of its kind.",7.3,1336946400,http://www.imdb.com//title/tt2386441/?ref_=ttep_ep8
4,9,Princess Monster Wife,The Ice King steals various body parts from all the princesses to construct his own perfect princess bride.,7.4,1338156000,http://www.imdb.com//title/tt2310690/?ref_=ttep_ep9
4,10,Goliad,"Princess Bubblegum uses her own DNA to create an intelligent and immortal sphinx which is planned to one day succeed her to the throne, except that Finn and Jake accidentally affect those plans.",7.9,1338760800,http://www.imdb.com//title/tt2185414/?ref_=ttep_ep10
4,11,Beyond This Earthly Realm,"A magic curse turns Finn into a ghost, invisible to everyone but the Ice King.",7.7,1339279200,http://www.imdb.com//title/tt2311108/?ref_=ttep_ep11
4,12,Gotcha!,Lumpy Space Princess sets out to write a book on how to catch a man and goes undercover as Finn and Jake's secretary in order to seduce Finn.,7.1,1339970400,http://www.imdb.com//title/tt2195216/?ref_=ttep_ep12
4,13,Princess Cookie,The Candy Kingdom faces a hostage crisis from a cookie that demands Princess Bubblegum's crown.,8.5,1340575200,http://www.imdb.com//title/tt2258518/?ref_=ttep_ep13
4,14,Card Wars,"As Finn joins in on Jake's favorite, hyper-complicated card game, emotions and poor gamesmanship run high.",8.3,1342389600,http://www.imdb.com//title/tt2248316/?ref_=ttep_ep14
4,15,Sons of Mars,"Magic Man switches bodies with Jake so that he can escape his trial on Mars, leaving it up to Finn to reveal the truth and save his friend.",8.2,1342994400,http://www.imdb.com//title/tt2259192/?ref_=ttep_ep15
4,16,Burning Low,"Finn and Flame Princess cautiously begin a relationship as boyfriend and girlfriend, of which Princess Bubblegum disapproves.",8.4,1343599200,http://www.imdb.com//title/tt2275824/?ref_=ttep_ep16
4,17,BMO Noire,BMO uses hard-boiled detective skills to locate Finn's missing sock.,8.1,1344204000,http://www.imdb.com//title/tt2311110/?ref_=ttep_ep17
4,18,King Worm,"Finn finds himself trapped in a bizarre dream, the outcome of which may determine if he ever wakes up.",8.2,1344808800,http://www.imdb.com//title/tt2333836/?ref_=ttep_ep18
4,19,Lady & Peebles,Princess Bubblegum and Lady Rainicorn must rescue Finn and Jake.,7.9,1345413600,http://www.imdb.com//title/tt2323656/?ref_=ttep_ep19
4,20,You Made Me,"The would-be usurper to the throne, Lemongrab, returns to the Candy Kingdom, demanding volunteer subjects for his own kingdom.",8.0,1346018400,http://www.imdb.com//title/tt2333862/?ref_=ttep_ep20
4,21,Who Would Win,"While training for an epic battle, Finn and Jake take their frustrations out in a fight against each other.",7.5,1346623200,http://www.imdb.com//title/tt2365224/?ref_=ttep_ep21
4,22,Ignition Point,"Finn and Jake sneak into the Fire Kingdom to retrieve some of Flame Princess' things, and stumble onto a plot to kill the Flame King.",7.8,1347832800,http://www.imdb.com//title/tt2375154/?ref_=ttep_ep22
4,23,The Hard Easy,A tribe of swamp creatures ask Finn and Jake to save them from a Mega Frog.,7.7,1349042400,http://www.imdb.com//title/tt2401576/?ref_=ttep_ep23
4,24,Reign of Gunters,"While the Ice King is away, his sidekick Gunther the penguin uses a magic amulet to conquer the countryside and attack the Candy Kingdom.",8.0,1349647200,http://www.imdb.com//title/tt2401582/?ref_=ttep_ep24
4,25,I Remember You,The Ice King asks Marcelline the Vampire Queen to help him write a song.,9.4,1350252000,http://www.imdb.com//title/tt2401584/?ref_=ttep_ep25
4,26,The Lich,Finn has an unclear premonition involving The Lich and sets out to stop the undead creature.,8.8,1350856800,http://www.imdb.com//title/tt2401636/?ref_=ttep_ep26
5,1,Finn the Human,Finn's wish to stop the evil Lich has massive cosmic consequences.,8.8,1352674800,http://www.imdb.com//title/tt2459530/?ref_=ttep_ep1
5,2,Jake the Dog,Following the unexpected consequences of Finn's cosmic wish it's up to the Jake -- and his short attention span -- to set things right.,9.2,1352674800,http://www.imdb.com//title/tt2459528/?ref_=ttep_ep2
5,3,Five More Short Graybles,Five more short stories with one connecting theme.,7.6,1353279600,http://www.imdb.com//title/tt2506708/?ref_=ttep_ep3
5,4,Up a Tree,"Having been magical shrunk to the size of a forest animal, Finn takes up a quest to climb a tree and retrieve his lost flying disc.",7.8,1353884400,http://www.imdb.com//title/tt2510956/?ref_=ttep_ep4
5,5,All the Little People,"Finn receives a mysterious bag that contains what appears to be living toys of everyone he knows, which playing with has unexpected results.",8.5,1354489200,http://www.imdb.com//title/tt2539922/?ref_=ttep_ep5
5,6,Jake the Dad,Lady gives birth to a litter of puppies and Jake becomes an eager but frantic father.,8.2,1357513200,http://www.imdb.com//title/tt2597414/?ref_=ttep_ep6
5,7,Davey,"Finn becomes Davey, an alter-ego, everyman in order to escape the attention of fame and becomes consumed by his new identity.",7.7,1358118000,http://www.imdb.com//title/tt2606674/?ref_=ttep_ep7
5,8,Mystery Dungeon,"Ice King, Neptr, Tree Trunks, Shelby and Lemongrab wake up in a dungeon and must work together to escape.",8.2,1358722800,http://www.imdb.com//title/tt2617736/?ref_=ttep_ep8
5,9,All Your Fault,Lemongrab sends a distress message to the Candy Kingdom which Finn and Jake respond to.,8.1,1359327600,http://www.imdb.com//title/tt2620058/?ref_=ttep_ep9
5,10,Little Dude,Finn's hat comes to life.,7.6,1359932400,http://www.imdb.com//title/tt2620066/?ref_=ttep_ep10
5,11,Bad Little Boy,A return to the gender-swapped world with Fionna and Cake and Marshall Lee the Vampire King.,8.3,1361142000,http://www.imdb.com//title/tt2459526/?ref_=ttep_ep11
5,12,Vault of Bones,Finn and Flame Princess explore a dungeon together.,8.0,1361746800,http://www.imdb.com//title/tt2620072/?ref_=ttep_ep12
5,13,The Great Bird Man,"Finn and Jake get lost in the badlands and are saved by Xergiok, ex-Goblin King who now lives in a cave. A look at what Ice King and Marceline were like 996 years ago.",7.7,1362351600,http://www.imdb.com//title/tt2620078/?ref_=ttep_ep13
